drain_id,area_name,latitude,longitude,installation_date
1,Velachery,12.966428,80.263678,2021-03-25
2,Triplicane,12.821818,80.237272,2022-08-22
3,T. Nagar,13.03654,80.254647,2024-11-14
4,Triplicane,12.936838,80.268429,2017-01-01
5,Royapettah,12.947725,80.250798,2022-10-14
6,Triplicane,13.180045,80.103392,2025-03-01
7,Avadi,13.190528,80.180566,2013-01-01
8,Avadi,13.195224,80.180077,2020-04-26
9,Besant Nagar,12.969515,80.113028,2016-08-20
10,Saidapet,13.001203,80.197549,2010-10-17
11,Kolathur,13.118881,80.199824,2018-09-30
12,Velachery,12.9403,80.113053,2019-03-22
13,Ambattur,13.122683,80.201781,2025-01-19
14,Guindy,13.010663,80.133489,2026-04-02
15,Villivakkam,12.810866,80.100713,2014-10-01
16,Tambaram,12.93863,80.281526,2018-05-06
17,Sholinganallur,12.919891,80.267161,2016-05-10
18,Royapettah,13.183971,80.21857,2013-05-01
19,Nungambakkam,13.06921,80.149284,2019-03-13
20,Perambur,12.879829,80.297639,2015-07-04
21,Adyar,13.069571,80.248257,2018-07-19
22,Tambaram,12.824109,80.226333,2015-09-15
23,Royapettah,13.002951,80.236201,2014-12-11
24,Anna Nagar,13.188808,80.192093,2014-04-15
25,Saidapet,12.850591,80.100008,2019-05-21
26,Triplicane,12.867958,80.103323,2022-12-18
27,Anna Nagar,13.165505,80.269737,2010-03-16
28,Triplicane,12.820786,80.124843,2020-11-29
29,Besant Nagar,13.093385,80.274178,2015-02-28
30,Royapettah,13.082819,80.253888,2024-08-04
31,Egmore,13.15602,80.295411,2024-02-23
32,Besant Nagar,13.190756,80.173727,2010-10-05
33,Chromepet,12.923557,80.104407,2014-09-03
34,Kodambakkam,13.168375,80.174811,2024-07-14
35,Avadi,12.838851,80.26253,2012-01-03
36,T. Nagar,13.079322,80.130881,2024-08-17
37,Guindy,13.11798,80.10631,2019-05-13
38,Kolathur,13.000353,80.20699,2022-06-03
39,Kodambakkam,12.893126,80.225309,2023-06-27
40,Medavakkam,12.849518,80.174772,2011-02-18
41,Saidapet,13.008209,80.248703,2010-10-16
42,Anna Nagar,12.929027,80.26117,2017-11-25
43,Royapettah,12.838844,80.210768,2012-06-04
44,Villivakkam,13.058261,80.266399,2026-04-20
45,Chromepet,13.18105,80.203071,2020-03-18
46,Perambur,13.019327,80.126825,2025-05-19
47,Chromepet,12.925188,80.124428,2017-08-01
48,Ambattur,13.167168,80.259336,2021-01-04
49,Velachery,12.912433,80.259569,2014-11-30
50,Ambattur,13.037968,80.109161,2021-05-25
51,Chromepet,13.093685,80.216147,2020-01-10
52,Guindy,13.055645,80.110514,2012-03-20
53,Kodambakkam,12.998046,80.168042,2013-11-20
54,Guindy,13.17012,80.170692,2010-09-10
55,Velachery,12.830837,80.107527,2010-07-04
56,Saidapet,13.052676,80.144214,2019-05-29
57,Porur,12.843157,80.274571,2014-07-03
58,Kolathur,13.150986,80.265838,2016-06-18
59,Perambur,13.085548,80.211615,2010-08-21
60,Mylapore,12.875522,80.127483,2020-12-19
61,Saidapet,12.96874,80.194198,2018-10-16
62,Tambaram,13.048429,80.237981,2019-01-04
63,Chromepet,12.91072,80.179409,2021-09-14
64,Thiruvanmiyur,13.142955,80.18917,2025-02-24
65,Kodambakkam,13.10977,80.101184,2013-05-02
66,Tambaram,13.048647,80.245411,2013-10-08
67,Sholinganallur,13.078996,80.204522,2014-02-11
68,Ambattur,13.051467,80.196841,2025-05-03
69,Kodambakkam,12.9266,80.138426,2013-02-14
70,Sholinganallur,13.024076,80.175395,2025-10-03
71,Sholinganallur,13.153628,80.155589,2025-02-26
72,Ambattur,13.096135,80.179796,2011-10-19
73,Egmore,13.087275,80.269144,2017-11-16
74,Triplicane,13.021351,80.178049,2011-05-17
75,Saidapet,13.144388,80.275812,2024-02-04
76,Royapettah,12.934415,80.247225,2017-08-26
77,Sholinganallur,12.988514,80.2156,2021-03-24
78,Guindy,12.932974,80.265128,2024-11-13
79,Medavakkam,13.050711,80.170061,2023-04-12
